Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
13786,3612678,Columbia University (morningside),3612678,Columbia University (morningside),1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1018850037;1019900029;1019900050;1019900044;1018850043;1019730001;1018857501;1018670042;1018860001;1018850061;1019610039;1019900005;1018670067;1018850040;1019610001;1018670074,1057033;1059823;1059828;1059827;1057035;1082166;1084460;1057018;1085710;1082165;1082692;1084476;1084469;1084467;1084459;1084465;1084458;1057049;1084845;1084846;1082160;1082163;1082164;1083610;1082159;1084477;1083301;1084472;1084468;1084473;1084463;1084461;1076680;1059498;1059497;1059834;1059818;1056055;1057034;1084474;1083609;1809321;1084464;1084475;1056058;1084471;1084466;1084470,410 West 118th Street,B-230,10027,Not found,Not found,Manhattan, Not found ,6385382,College/University,College/University,College/University,6386382,,,,,1897,56,100,Whole Building,,,321.2,321.2,187,187,17.5,1.3,,,,,,,,,,812867778,8128677.8,381447882.2,111795966,111795966,,,76994.2,43175.3,33818.9,,,Not found,7/1/2018,Not found
13787,3618216,435 W 119 and 434 W 120,3618216,435 W 119 and 434 W 120,1019620070;1019620038,1019620070;1019620038,1059514;1059510,435 W 119th Street,,10027,Not found,Not found,Manhattan, Not found ,176351,Other,Other,Other,176351,,,,,1964,2,100,Whole Building,,,17.2,16.8,9.4,8.9,1,0.1,,,,,,,,,,1036200,9399.8,620874.8,181968,184651.1,,,110.1,55,55,,,Not found,7/1/2018,Not found
14004,6310619,1098-1100 & 1112-1114 Gerard Ave,,,2024780024;2024780018,2-02478-0024;2-02478-0018,2002947;2002946,"1098-1100, 1112-1114 Gerard Ave",,10452,Not found,Not found,Bronx, Not found ,110000,Multifamily Housing,Multifamily Housing,Multifamily Housing,110000,,,,,1925,4,100,Whole Building,,99,69.1,71.3,51.3,53.7,2.1,0.5,,,,,,,,,,4836161.6,51162.4,802321.6,235147,230328.2,,,328,256.9,71.1,,,Not found,7/13/2018,Not found
14120,2780056,720-730 Ft. Washington Owners Corp.,2780056,720-730 Ft. Washington Owners Corp.,1021800614;1021800628,1021800614;1021800628,1064475;1064476;1803806,720-730 Ft. Washington Ave.,,10040,Not found,Not found,Manhattan, Not found ,321464,Multifamily Housing,Multifamily Housing,Multifamily Housing,321464,,,,,1939,2,100,Whole Building,Whole Building,100,60.3,63.7,59.7,63.1,,,,,19183815.6,,,,,,,,,,,,,,1444.3,1444.3,0,5481,17.05,Not found,7/16/2018,Not found
14150,2806486,Park 76th Street Inc.,2806486,Park 76th Street Inc.,1013900037;1013910034,1013900037;1013910034,1041702; 1041800,830-840 Park Avenue,,10021,Not found,Not found,Manhattan, Not found ,189766,Multifamily Housing,Multifamily Housing,Multifamily Housing,189766,,,,,1911,2,100,Whole Building,Whole Building,100,125.2,131,78.7,84.8,5.9,0.6,,,,,,,,,,11069135.4,122848.9,3864257.2,1132548.9,1117234.1,,,930.5,587.9,342.6,,,Not found,7/16/2018,Not found
14209,2780056,720-730 Ft. Washington Owners Corp.,2780056,720-730 Ft. Washington Owners Corp.,1021800614;1021800628,1021800614;1021800628,1064475;1064476;1803806,720-730 Ft. Washington Ave.,,10040,Not found,Not found,Manhattan, Not found ,321464,Multifamily Housing,Multifamily Housing,Multifamily Housing,321464,,,,,1939,2,100,Whole Building,Whole Building,100,60.3,63.7,59.7,63.1,,,,,19183815.6,,,,,,,,,,,,,,1444.3,1444.3,0,5481,17.05,Not found,7/16/2018,Not found
14249,2806486,Park 76th Street Inc.,2806486,Park 76th Street Inc.,1013900037;1013910034,1013900037;1013910034,1041702; 1041800,830-840 Park Avenue,,10021,Not found,Not found,Manhattan, Not found ,189766,Multifamily Housing,Multifamily Housing,Multifamily Housing,189766,,,,,1911,2,100,Whole Building,Whole Building,100,125.2,131,78.7,84.8,5.9,0.6,,,,,,,,,,11069135.4,122848.9,3864257.2,1132548.9,1117234.1,,,930.5,587.9,342.6,,,Not found,7/16/2018,Not found
14296,2780056,720-730 Ft. Washington Owners Corp.,2780056,720-730 Ft. Washington Owners Corp.,1021800614;1021800628,1021800614;1021800628,1064475;1064476;1803806,720-730 Ft. Washington Ave.,,10040,Not found,Not found,Manhattan, Not found ,321464,Multifamily Housing,Multifamily Housing,Multifamily Housing,321464,,,,,1939,2,100,Whole Building,Whole Building,100,60.3,63.7,59.7,63.1,,,,,19183815.6,,,,,,,,,,,,,,1444.3,1444.3,0,5481,17.05,Not found,7/17/2018,Not found
14318,2806486,Park 76th Street Inc.,2806486,Park 76th Street Inc.,1013900037;1013910034,1013900037;1013910034,1041702; 1041800,830-840 Park Avenue,,10021,Not found,Not found,Manhattan, Not found ,189766,Multifamily Housing,Multifamily Housing,Multifamily Housing,189766,,,,,1911,2,100,Whole Building,Whole Building,100,125.2,131,78.7,84.8,5.9,0.6,,,,,,,,,,11069135.4,122848.9,3864257.2,1132548.9,1117234.1,,,930.5,587.9,342.6,,,Not found,7/17/2018,Not found
14575,2684668,Clipper - 111 Wadsworth Ave,,,1021629001;1021620001,1-02162-9001;1-02162-0001,1079921;1079920,111 Wadsworth Avenue,1365 St. Nicholas Avenue,10033,Not found,Not found,Manhattan, Not found ,518409,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,511409,Retail Store,7000,,,1962,1,100,Whole Building,,5,201.8,212.3,142.7,152.4,7.3,1.3,,,,,,,,,,61055881.7,660710.8,12906210.7,3782593.5,3798423.7,,,4387.2,3243,1144.3,,,Not found,7/22/2018,Not found
14599,6417087,WAGNER COLLEGE CAMPUS,6417087,WAGNER COLLEGE CAMPUS,5006200001;5006200100;5006200200;5006200300,05-00620-0001; 05-00620-0100; 05-00620-0200; 05-00620-0300,"5113153,5113454,5113455,5113456,5113457,5113458,5113459,5113460,5113461,5113462,5113463,5113464,5113465,5113466,5113467,5113468,5113469,5113470,5147163,5154662,5154663,5154664,5154665,5154666,5154667,5154668,5154670,5154671,5154672,5154673,5154674,5154675,5154676,5154696,5154697,5154698,5158745,5015989,5015990,5106906,5143133,5154699",631 Campus Road,,10301,Not found,Not found,Staten Island, Not found ,814871,College/University,College/University,College/University,814871,,,,,1967,42,95,Whole Building,Whole Building,,143.3,148.8,120.4,125.6,2.4,1.1,,8952863.7,,,,,,,,82350587.5,856442.6,6783286.3,1988067.2,1990096,293.2,Aug-17,5639.8,5038.4,601.4,20784.7,25.51,Not found,7/23/2018,Not found
14653,2771725,Twin Properties LLC,,,3012500060;3012500053,3012500060:3012500053,3032046;3032047,1025 SAINT JOHNS PL.,,11213,Not found,Not found,Brooklyn, Not found ,153202,Multifamily Housing,Multifamily Housing,Multifamily Housing,153202,,,,,1910,2,100,Whole Building,Whole Building,95,65,65.3,45.8,45.9,2.4,0.4,,,,,,,,,,5772657.3,57726.6,1242471,364147.4,368429.3,,,416.8,306.6,110.2,4454.3,29.08,Not found,7/24/2018,Not found
14695,2831193,SOUNDVIEW,4473882,CLASON POINT GARDENS/SOUNDVIEW CAMPUS,2035150001;2035510001,2035150001;2035510001,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,639 ROSEDALE AVENUE,,10473,Not found,Not found,Bronx, Not found ,1188700,Multifamily Housing,Multifamily Housing,Multifamily Housing,1188700,,,,,1954,1,100,Whole Building,,63,137.6,148.9,132.6,143.4,,1,,46126498.6,,,,,,,,111449474.4,1223465.3,,,,,,9342.6,9342.6,0,,,Not found,7/26/2018,Not found
14696,2831196,SOUTH JAMAICA I,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051,4101250033;4101460051,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473,106-24 159TH STREET,,11433,Not found,Not found,Queens, Not found ,341600,Multifamily Housing,Multifamily Housing,Multifamily Housing,341600,,,,,1940,1,100,Whole Building,,100,0,0,0,0,0,,,,,,,,,,,,,2408.9,706,706,,,0.2,0,0.2,,,Not found,7/26/2018,Not found
14697,3129939,WHITMAN/WHITMAN CHILD CENTER,4474067,WHITMAN/INGERSOLL CAMPUS,3020400001;3020410001,3020400001;3020410001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021,131 CUMBERLAND WALK,,11205,Not found,Not found,Brooklyn, Not found ,1349100,Multifamily Housing,Multifamily Housing,Multifamily Housing,1349100,,,,,1944,1,100,Whole Building,,79,129.1,138.4,123.6,132.5,,1.1,,21723962.5,,,,,,,,144959433.2,1541066.4,,,,,,9311.6,9311.6,0,,,Not found,7/26/2018,Not found
14698,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,106-24 159TH STREET,,11433,Not found,Not found,Queens, Not found ,1000518,Multifamily Housing,Multifamily Housing,Multifamily Housing,1000518,,,,,1940,27,100,Whole Building,,3,219.3,227.2,160.7,168.4,7.1,1.4,,0,,,,,,,,136596528.3,1443699.8,24187607.5,7088981.4,7065888,,,9399.8,7255.3,2144.5,,,Not found,7/26/2018,Not found
14699,2831197,SOUTH JAMAICA I/SOUTH JAMAICA II,4474031,SOUTH JAMAICA I/SOUTH JAMAICA II CAMPUS,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4101250033;4101460051;4101250012;4101250063;4101270001;4101480001;4121480100,4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,106-24 159TH STREET,,11433,Not found,Not found,Queens, Not found ,1000518,Multifamily Housing,Multifamily Housing,Multifamily Housing,1000518,,,,,1954,1,100,Whole Building,,3,219.3,227.2,160.7,168.4,7.1,1.4,,0,,,,,,,,136596528.3,1443699.8,24185198.6,7088275.4,7065179.9,,,9399.5,7255.3,2144.2,,,Not found,7/26/2018,Not found
14700,4474034,VLADECK/VLADECK II CAMPUS,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024;1002630001,1002600001;1002600075;1002670024;1002630001,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,70 GOUVERNEUR STREET,,10002,Not found,Not found,Manhattan, Not found ,1391256,Multifamily Housing,Multifamily Housing,Multifamily Housing,1391256,,,,,1940,24,100,Whole Building,,8,209,216.2,147.9,155.6,7.4,1.3,,0,,,,,,,,169921061.1,1812348,35783395.1,10487511.9,10318573.1,,,12197.9,9025.3,3172.5,,,Not found,7/26/2018,Not found
14701,2831217,THROGGS NECK,4519552,THROGGS NECK/THROGGS NECK ADDITION CAMPUS,2055640001;2055670001;2055820001,2055640001;2055670001;2055820001,2091468;2091469;2091471;2091472;2091473;2091474;2091475;2091476;2091477;2091478;2091479;2091480;2091482;2091483;2091484;2091485;2091486;2091487;2093883;2093884;2093885;2093886;2093887;2093888;2093889;2093890;2093891;2093892;2093893;2112983;2112984,2731 SAMPSON AVENUE,,10465,Not found,Not found,Bronx, Not found ,1284280,Multifamily Housing,Multifamily Housing,Multifamily Housing,1284280,,,,,1953,1,100,Whole Building,,4,205.1,216.4,147.4,158,7.1,1.3,,5251865,,,,,,,,153083962.2,1665813.4,31024530.8,9092768.8,9118629.3,,,11271.4,8520.8,2750.6,,,Not found,7/26/2018,Not found
14702,2831218,THROGGS NECK ADDITION,4519552,THROGGS NECK/THROGGS NECK ADDITION CAMPUS,2055640001;2055670001,2055640001;2055670001,2091467;2091470;2091481;2091488,680 BALCOM AVENUE,,10465,Not found,Not found,Bronx, Not found ,397970,Multifamily Housing,Multifamily Housing,Multifamily Housing,397970,,,,,1971,1,100,Whole Building,,20,161.7,,111.7,,6.2,,,3688878.4,,,,,,,,32249936.1,,8526972.8,2499112.5,2484982.8,,,2742.7,1986.7,756,,,Not found,7/26/2018,Not found
14703,2831227,UNITY PLAZA (SITES 04-27),4479068,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES CAMPUS,3037840001;3037850015;3037870005,3037840001;3037850015;3037870005,3084439;3328048;3328049;3336124;3336125,360 WILLIAMS AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,504240,Multifamily Housing,Multifamily Housing,Multifamily Housing,504240,,,,,1973,1,100,Whole Building,,,288.4,296.8,218.4,226.4,8.3,2,,,,,,,,,,95853771.7,999006.3,14263834.9,4180490.4,4178877.1,,,6355.9,5091.3,1264.6,,,Not found,7/26/2018,Not found
14704,2831228,"UNITY PLAZA (SITES 17,24,25A)",4479068,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES CAMPUS,3037690030;3037700001,3037690030;3037700001,3084284;3328035;3328036,340 GEORGIA AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,186600,Multifamily Housing,Multifamily Housing,Multifamily Housing,186600,,,,,1973,1,100,Whole Building,,93,93,93.1,33.2,33.3,8.2,0.1,,,,,,,,,,1008145.4,10309.9,5189643.8,1520997.4,1520974.7,,,513.7,53.5,460.1,,,Not found,7/26/2018,Not found
14705,2831232,VAN DYKE I,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3037600001;3037770001;3037940001,3037600001;3037770001;3037940001,3000000;3328024;3328025;3328026;3328027;3328028;3328029;3328030;3328031;3328032;3328040;3328041;3328042;3328043;3328044;3328045;3328046;3328127;3328129;3328130;3328131;3328132;3339378;3394294,414 SUTTER AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,1575450,Multifamily Housing,Multifamily Housing,Multifamily Housing,1575450,,,,,1955,1,100,Whole Building,,100,7.8,7.9,6.4,6.5,0.2,0.1,,,,,,,,,,9293434.8,94561.1,806398.3,236341.8,236341.8,,,565.1,493.6,71.5,,,Not found,7/26/2018,Not found
14706,2831236,VLADECK,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024,1002600001;1002600075;1002670024,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405,70 GOUVERNEUR STREET,,10002,Not found,Not found,Manhattan, Not found ,1190112,Multifamily Housing,Multifamily Housing,Multifamily Housing,1190112,,,,,1940,1,100,Whole Building,,100,75.9,79.7,72.3,75.9,,0.8,,0,,,,,,,,86063740.3,903776.8,,,,,,4571.3,4571.3,0,,,Not found,7/26/2018,Not found
14707,2831238,VLADECK/VLADECK II,4474034,VLADECK/VLADECK II CAMPUS,1002600001;1002600075;1002670024;1002630001,1002600001;1002600075;1002670024;1002630001,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,70 GOUVERNEUR STREET,,10002,Not found,Not found,Manhattan, Not found ,1391256,Multifamily Housing,Multifamily Housing,Multifamily Housing,1391256,,,,,1940,1,100,Whole Building,,54,144,147.8,86,90.4,7.4,0.7,,0,,,,,,,,83857320.8,906105.4,35783395.1,10487511.9,10318573.1,,,7626.6,4454.1,3172.5,,,Not found,7/26/2018,Not found
14709,2831242,WASHINGTON,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016470001;1016490001;1016520001,1016470001;1016490001;1016520001,1074265;1079202;1079203;1080680;1080681;1080682;1080683;1082342;1082343;1082344;1082345;1083456;1083457;1083461;1083462;1083464;1813126,1761 3RD AVENUE,,10029,Not found,Not found,Manhattan, Not found ,1404388,Multifamily Housing,Multifamily Housing,Multifamily Housing,1404388,,,,,1957,1,100,Whole Building,,97,89.8,100.1,85.5,95.3,0,1,,93150,,,,,,,,119964435.5,1337583.3,40.9,12,12,,,6378.8,6378.8,0,,,Not found,7/26/2018,Not found
14712,2831261,WHITMAN,4474067,WHITMAN/INGERSOLL CAMPUS,3020400001;3020410001,3020400001;3020410001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021,131 CUMBERLAND WALK,,11205,Not found,Not found,Brooklyn, Not found ,1349100,Multifamily Housing,Multifamily Housing,Multifamily Housing,1349100,,,,,1944,1,100,Whole Building,,100,5.7,5.8,5.3,5.4,0,0.1,,,,,,,,,,7089034.3,72276.1,57488.9,16849,16849,,,381.6,376.5,5.1,,,Not found,7/26/2018,Not found
14713,2831262,WHITMAN/INGERSOLL,4474067,WHITMAN/INGERSOLL CAMPUS,3020400001;3020410001;3020340001;3020500001,3020400001;3020410001;3020340001;3020500001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021;3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230;3335231;3335232;3335233;3340606;3345032;3345036,131 CUMBERLAND WALK,,11205,Not found,Not found,Brooklyn, Not found ,2870100,Multifamily Housing,Multifamily Housing,Multifamily Housing,2870100,,,,,1944,1,100,Whole Building,,100,69.4,68.5,22.1,21.8,6.4,,,,,,,,,,,,,63473476.8,18603009.7,18349807.5,,,5627.5,0,5627.5,,,Not found,7/26/2018,Not found
14714,2831268,WOODSON,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3037800001;3037970001,3037800001;3037970001,3084418;3328133,393 POWELL STREET,,11212,Not found,Not found,Brooklyn, Not found ,276300,Multifamily Housing,Multifamily Housing,Multifamily Housing,276300,,,,,1970,1,100,Whole Building,,,177.3,184,128,134.4,6,1.1,,0,,,,,,,,29687910,314471.7,5673580.8,1662831.2,1664025.9,,,2079.9,1576.9,503,,,Not found,7/26/2018,Not found
14715,3128124,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES,4479068,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES CAMPUS,3037840001;3037850015;3037870005;3037690030;3037700001;3037670036;3037680018;3037870001,3037840001;3037850015;3037870005;3037690030;3037700001;3037670036;3037680018;3037870001,3084284;3328035;3328036;3084439;3328048;3328049;3336124;3336125;3084282;3328033;3328034;3328050;3328051,360 WILLIAMS AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,944590,Multifamily Housing,Multifamily Housing,Multifamily Housing,944590,,,,,1973,1,100,Whole Building,,,0,0,0,0,,0,,0,,,,,,,,0,0,,,,,,0,0,0,,,Not found,7/26/2018,Not found
14716,3128125,VAN DYKE I/VAN DYKE II,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3037600001;3037770001;3037940001,3037600001;3037770001;3037940001,3000000;3328024;3328025;3328026;3328027;3328028;3328029;3328030;3328031;3328032;3328040;3328041;3328042;3328043;3328044;3328045;3328046;3328127;3328129;3328130;3328131;3328132;3339378;3394294;3328126,414 SUTTER AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,1717250,Multifamily Housing,Multifamily Housing,Multifamily Housing,1717250,,,,,1955,1,100,Whole Building,,66,126.6,133.3,117.9,124.3,0.4,1.2,,0,,,,,,,,200255148.2,2113005.8,2250100.3,659466.6,656092.2,,,10836,10636.5,199.5,,,Not found,7/26/2018,Not found
14717,3128126,VAN DYKE II/WOODSON,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3037800001;3037970001;3037940001,3037800001;3037970001;3037940001,3328126;3084418;3328133,430 DUMONT AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,418100,Multifamily Housing,Multifamily Housing,Multifamily Housing,418100,,,,,1964,1,100,Whole Building,,100,4.5,4.5,4.2,4.2,,0,,,,,,,,,,1773789.1,17737.9,,,,,,94.2,94.2,0,,,Not found,7/26/2018,Not found
14720,4474067,WHITMAN/INGERSOLL CAMPUS,4474067,WHITMAN/INGERSOLL CAMPUS,3020400001;3020410001;3020340001;3020500001,3020400001;3020410001;3020340001;3020500001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021;3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230;3335231;3335232;3335233;3340606;3345032;3345036,131 CUMBERLAND WALK,,11205,Not found,Not found,Brooklyn, Not found ,2870100,Multifamily Housing,Multifamily Housing,Multifamily Housing,2870100,,,,,1944,39,100,Whole Building,,15,203.3,209.9,149.9,156.8,6.4,1.3,,21723962.5,,,,,,,,344916555.1,3655536.4,63530965.7,18619858.7,18366688.9,,,25564.9,19932.3,5632.6,,,Not found,7/26/2018,Not found
14721,4479068,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES CAMPUS,4479068,UNITY PLAZA (ALL SITES)/LONG ISLAND BAPTIST HOUSES CAMPUS,3037680018;3037870001;3037670036;3037690030;3037700001;3037840001;3037850015;3037870005,3037680018;3037870001;3037670036;3037690030;3037700001;3037840001;3037850015;3037870005,3328033;3328034;3328050;3328051;3084282;3084284;3328036;3328035;3328048;3328049;3336125;3336124;3084439,360 WILLIAMS AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,944590,Multifamily Housing,Multifamily Housing,Multifamily Housing,944590,,,,,1973,12,100,Whole Building,,13,182.8,187.1,129.9,134.1,6.5,1.1,,0,,,,,,,,101765910.2,1057488.9,20973382,6146945.9,6135285.7,,,7264.8,5405.3,1859.5,,,Not found,7/26/2018,Not found
14722,4519552,THROGGS NECK/THROGGS NECK ADDITION CAMPUS,4519552,THROGGS NECK/THROGGS NECK ADDITION CAMPUS,2055640001;2055670001;2055820001,2055640001;2055670001;2055820001,2091468;2091469;2091471;2091472;2091473;2091474;2091475;2091476;2091477;2091478;2091479;2091480;2091482;2091483;2091484;2091485;2091486;2091487;2093883;2093884;2093885;2093886;2093887;2093888;2093889;2093890;2093891;2093892;2093893;2112983;2112984;2091467;2091470;2091481;2091488,2731 SAMPSON AVENUE,,10465,Not found,Not found,Bronx, Not found ,1682250,Multifamily Housing,Multifamily Housing,Multifamily Housing,1682250,,,,,1953,35,100,Whole Building,,7,191.7,,135.9,,6.9,,,3688878.4,,,,,,,,185333898.2,,39551503.5,11591881.2,11559144.5,,,13624.3,10117.7,3506.6,,,Not found,7/26/2018,Not found
14741,2830965,BOULEVARD,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043750050,3043550001;3043760001;3043770001;3043750050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477,785 SCHENCK AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,1476675,Multifamily Housing,Multifamily Housing,Multifamily Housing,1476675,,,,,1951,1,100,Whole Building,,84,101.7,108.4,96.9,103.3,0,1,,1590036,,,,,,,,141550248.6,1509015.3,2449.8,718,718,,,7636.6,7636.4,0.2,,,Not found,7/26/2018,Not found
